c201

capacity,speed
700,10

osmid,XCoord,YCoord,demand,ready_time,due_time,service_time
5178935608,802434,2496828,0,0,1000000,0
2423998337,798443,2493146,40,813,4694,30
6020941041,797318,2493063,40,948,2250,30
6020941028,797317,2493085,40,1032,2247,30
5369959565,797915,2493641,40,921,2286,30
5369959618,797978,2493586,40,815,2171,30
4889565072,797823,2493631,40,961,4085,30
5195201526,798052,2493704,40,935,2591,30
2703704151,798377,2493215,40,897,3923,30
6020941048,797207,2492965,30,975,2416,30
4889565080,797246,2492983,30,908,3893,30
5643323642,798239,2493343,30,920,3299,30
4889565091,797278,2493043,30,901,2946,30
1169603589,798451,2493155,30,853,3319,30
5195201527,798215,2493668,30,878,2361,30
5643323701,797910,2493626,30,914,2433,30
4889565079,797233,2492994,30,913,3977,30
4889565048,797867,2493685,30,926,4550,30
5195200818,798093,2493457,20,905,2965,30
1169606512,798428,2493157,20,742,2809,30
3799255760,798240,2493323,20,780,5035,30
3799247052,797861,2493671,20,782,2021,30
3647365199,797183,2493574,10,876,4932,30
5195200819,798104,2493469,10,819,2109,30
6000019141,798408,2493174,10,834,3876,30
1116415532,804559,2497027,40,390,2970,30
2528898774,804809,2496688,40,425,3978,30
278660194,804961,2497494,40,432,2730,30
2528898757,804518,2496682,40,448,3002,30
1116415322,804579,2497216,30,448,1597,30
2533159927,804916,2496665,30,533,1883,30
1116415406,805903,2497178,30,550,2250,30
2533159842,804926,2496616,30,435,2460,30
2528898834,804820,2496420,30,545,1751,30
1116415172,805699,2496920,30,545,2514,30
2528898667,804801,2496598,30,470,3856,30
2959075519,804871,2497411,30,383,3621,30
2533159860,804859,2496601,30,371,1844,30
1116415323,805946,2497140,30,466,2578,30
2528997076,805914,2497190,30,422,1994,30
2959062425,805903,2497454,30,463,3370,30
2533191679,804516,2496661,30,334,2260,30
5773763285,805672,2496972,30,435,2933,30
1836234261,805450,2497040,30,419,1768,30
2528898770,805125,2496779,30,543,6567,30
2533159836,804954,2496481,10,585,1758,30
1116415307,805724,2496979,10,445,1863,30
2533159854,804850,2496644,10,431,3087,30
2533191691,804591,2497172,10,407,1751,30
1116415412,804630,2497016,10,459,2546,30
2533191746,804614,2497264,10,403,4616,30
6778994065,804839,2500998,40,778,2944,30
2364352872,804855,2500803,40,808,2967,30
2364352874,804519,2500807,40,702,4240,30
6359958712,804802,2501028,40,828,2310,30
2364346026,804219,2502000,40,729,3901,30
2364352904,804358,2500828,40,751,3802,30
2364241994,804943,2501543,40,879,4900,30
3016780637,804168,2501911,40,862,3113,30
2364352895,804546,2500733,40,803,3009,30
6359958714,804702,2501074,40,717,3046,30
3810877451,804991,2501766,30,739,2256,30
2364241986,805112,2501238,30,741,1995,30
2364241975,805389,2501586,30,766,2014,30
3016780647,804138,2501928,30,776,2039,30
2364352929,804324,2500957,30,685,1986,30
5178285425,805088,2501722,30,812,2833,30
5129130567,804256,2501752,20,817,3644,30
3810877452,804982,2501771,20,888,2857,30
5176854897,805209,2501264,20,883,3869,30
2364241980,804997,2501290,20,716,3478,30
6848874344,805285,2501302,20,764,2925,30
5129130602,805098,2501772,20,799,3743,30
5927179523,801789,2491011,40,681,2703,30
1121499548,800726,2490864,40,808,3335,30
1169611458,801788,2491019,40,662,3050,30
4382016977,801300,2491436,40,640,2680,30
294966493,801482,2490368,40,754,3343,30
4382016969,801248,2491430,40,685,2098,30
1927123300,801263,2491438,40,801,4676,30
4376915368,801197,2491316,40,727,1829,30
5999844094,800960,2490813,30,901,3814,30
2531767594,801361,2490507,30,764,4203,30
2531767620,801371,2490469,30,893,5010,30
1121499523,800867,2490852,30,857,2180,30
4376915369,801205,2491317,30,657,2357,30
5927179546,801798,2490960,30,829,5229,30
1169609574,801187,2491231,30,804,2193,30
4382954505,801153,2491265,30,805,1968,30
662290548,800943,2490858,20,880,4625,30
4382016909,801185,2491315,20,782,2195,30
5927179536,801729,2491005,20,780,2013,30
4382016980,801247,2491436,20,732,3201,30
1169593514,801404,2490343,20,846,2079,30
2531767589,801430,2490531,20,877,2098,30
6578866467,801427,2490644,20,795,3601,30
