r202

capacity,speed
1000,10

osmid,XCoord,YCoord,demand,ready_time,due_time,service_time
5178935608,802434,2496828,0,0,1000000,0
5781259587,802417,2506226,34,1204,3780,30
2404417658,801841,2495107,26,476,2585,30
2397989527,803835,2496714,29,187,4371,30
2472129473,800256,2497051,5,525,1962,30
5559614310,799234,2493599,16,774,3278,30
4382016969,801248,2491430,18,794,2148,30
1169596022,798564,2492604,4,949,3649,30
5927179046,801872,2490666,1,797,2136,30
2758882962,805228,2505099,16,1265,3948,30
5808598607,808097,2501363,17,1103,3513,30
2533198989,804622,2497837,2,449,2127,30
2505523141,801851,2502215,12,884,3685,30
5131285226,800498,2494791,13,452,3182,30
1640420945,801137,2503016,3,872,2468,30
6260056979,802957,2490913,24,912,2040,30
2537975308,801575,2494646,1,449,3831,30
3352571986,802574,2491291,15,822,2134,30
2367052728,806400,2497938,18,700,2049,30
2533191772,805751,2497595,11,640,3346,30
6336740166,801651,2494543,11,372,2218,30
2958627177,803661,2497818,1,299,4415,30
2463727823,800060,2492691,23,692,3608,30
2537975315,801505,2494572,17,384,2212,30
2573990926,802397,2504838,38,1230,2315,30
5232900485,802639,2500573,35,618,2742,30
2703968389,800382,2498672,14,569,3809,30
5017496921,803132,2494010,14,393,1578,30
1217039573,799254,2489409,3,942,4997,30
2537806904,804737,2494075,16,519,2204,30
6483273349,798902,2496039,31,582,1705,30
5175418198,802194,2494401,15,326,1921,30
1169604062,801676,2493598,12,574,1928,30
6531598520,807813,2502929,18,1120,2290,30
2421455595,799188,2493986,19,749,3438,30
1943410844,805547,2500880,34,884,3677,30
4376915379,801194,2491354,11,794,4520,30
1116448510,803590,2499088,25,484,3156,30
1169616690,795278,2491525,29,1245,3649,30
2425146634,800258,2495700,12,355,1437,30
3624956565,806468,2494058,11,686,2781,30
2709078056,799629,2492154,38,836,2079,30
2756922926,806744,2497235,28,695,1903,30
2458960435,804926,2495836,11,526,3842,30
5212671250,796104,2487706,29,1437,3304,30
5176855565,805782,2501232,17,807,2924,30
2703874315,800742,2499262,15,485,4101,30
5019363187,801105,2491841,30,808,2106,30
5999846524,804358,2502122,11,747,2122,30
2709078114,799450,2492222,32,898,2179,30
6433491363,803432,2501420,28,735,1820,30
5358178351,804322,2495144,13,446,2605,30
2409714512,803563,2495210,20,516,2012,30
2498544079,800127,2494999,17,633,1739,30
2703898460,800916,2498978,15,564,2970,30
1214408430,799630,2489781,4,1084,2651,30
5179677513,801082,2495043,7,371,3604,30
1169606189,801689,2490168,36,854,3756,30
2699876417,805531,2495839,30,518,2033,30
2397987753,802805,2497312,31,278,2122,30
2533191767,805101,2497382,39,522,2983,30
5192382211,802113,2490487,12,786,2106,30
1169616683,795847,2492595,19,1085,4184,30
3645364829,803401,2494188,39,501,2748,30
2505522963,801010,2501118,2,625,3963,30
1925251951,802066,2493895,22,356,1504,30
5806331839,797526,2491516,13,1068,3298,30
5777506022,806678,2501944,12,991,3867,30
5179129482,801710,2499824,13,464,2958,30
1169604040,798642,2492379,14,856,4620,30
5226662713,798261,2496275,11,697,2395,30
2364917722,802696,2499212,34,552,2990,30
2366041118,801381,2498562,18,473,2770,30
2531769986,800805,2490177,6,830,3406,30
1169604511,797422,2492162,21,1066,4184,30
2505523114,802169,2500496,34,794,3410,30
1691371868,799461,2493987,27,578,2062,30
2394952336,801156,2494292,16,476,2281,30
2364346091,804726,2501926,18,770,1925,30
2533191789,805536,2497989,35,603,3310,30
5173027988,808187,2502019,9,1097,2198,30
2699876486,805574,2495766,1,492,2195,30
2472123490,800637,2497973,13,402,1810,30
2457901358,802181,2489737,28,812,1897,30
6848874091,806221,2501080,11,957,2413,30
4889565094,796717,2493618,2,1045,3440,30
1169596479,799243,2494339,17,629,1731,30
2539588748,799873,2494456,8,604,3240,30
1117084970,805761,2498239,6,638,2388,30
6017944235,808250,2503000,38,1310,3690,30
5131285252,800415,2494268,22,595,4065,30
2411100304,803250,2493214,39,565,2388,30
5901300795,800279,2494870,39,449,1499,30
2540889624,797558,2491526,16,925,2192,30
279077676,799314,2493910,25,610,3377,30
2539273814,802382,2494668,0,421,1786,30
3810877452,804982,2501771,35,920,2103,30
2703898464,800668,2498930,33,441,3318,30
2959089978,805325,2498684,27,580,2934,30
2463526317,800149,2491567,19,759,2776,30
2367037733,807318,2497830,28,913,2464,30
