rc102

capacity,speed
200,10

osmid,XCoord,YCoord,demand,ready_time,due_time,service_time
5178935608,802434,2496828,0,0,1000000,0
1169612664,800177,2490033,18,902,1529,30
1169595458,800188,2490114,5,848,1560,30
5865250276,799524,2490515,0,1045,2269,30
5223826152,800519,2490361,10,912,1454,30
2290904112,800271,2490468,34,974,1445,30
4850176520,800420,2490823,10,977,1561,30
1215713365,799760,2490113,28,854,1793,30
1215713313,800075,2490062,19,883,1441,30
5223826155,800434,2490651,36,879,1721,30
2557050048,796155,2490726,3,1085,1842,30
2557050043,796034,2490684,30,1285,1585,30
2557057139,796079,2491406,14,1360,1965,30
3796979289,796781,2491036,0,1274,1723,30
5806331848,796617,2490657,18,1240,2219,30
2557057118,796044,2491505,4,1375,2031,30
1169604972,796508,2490397,21,1331,2192,30
2557050050,796143,2490762,28,1090,1532,30
5693598301,796719,2491006,37,1076,1455,30
2557050032,796209,2490669,36,1354,1671,30
1121499518,796474,2491543,15,1176,1494,30
1169601206,796580,2490312,31,1118,1969,30
2557050002,796005,2490759,23,1148,1533,30
5567121419,805126,2498145,8,424,1093,30
5212670500,794916,2491925,25,1262,1615,30
277323425,800823,2494418,28,675,1126,30
2500297052,802799,2494310,15,450,1198,30
5179594953,800339,2495080,0,637,957,30
6359958725,804642,2501383,30,888,1214,30
5369959806,797700,2494537,16,812,1122,30
1117026516,799858,2498288,1,677,1161,30
2404427838,801069,2495184,10,379,1635,30
2400176625,801500,2495422,26,484,1235,30
1169614396,797143,2488172,14,1432,1793,30
2623035751,799280,2493439,15,871,1916,30
5140241342,801843,2500407,18,786,1477,30
2623035695,799179,2493185,20,865,1167,30
1169596018,799355,2489318,31,1175,2183,30
5212671295,795398,2489963,38,1429,2060,30
2505516069,800504,2501301,19,838,1231,30
1116458621,805074,2494636,26,724,1255,30
2573996713,802885,2504344,17,1207,1615,30
1169609807,800252,2492399,13,824,1818,30
6884069547,802706,2493331,13,448,1216,30
5445931900,800217,2497674,29,317,763,30
1169592084,801289,2489953,34,875,1502,30
2407726233,800292,2495575,13,585,912,30
2531767585,800840,2490589,35,943,1961,30
1943410502,803268,2500040,13,565,1150,30
4731709347,801474,2489916,39,846,1684,30
1117084998,806055,2497987,29,737,1506,30
2542599868,801332,2494454,11,366,751,30
4889565072,797823,2493631,22,829,1445,30
1169602902,798689,2494066,15,688,1254,30
2533191790,804500,2496661,12,532,887,30
1169612577,799585,2489927,16,861,1198,30
2472129481,800251,2497140,31,475,1059,30
4382016980,801247,2491436,24,827,1549,30
5806332417,797239,2491697,8,990,1614,30
2540889631,797432,2491115,21,1261,1922,30
1169613787,801181,2489905,9,864,1419,30
5179092119,802781,2498001,16,347,1746,30
3647240056,802642,2500453,11,584,1289,30
1169595261,797099,2489036,29,1245,1569,30
6578868647,803182,2491397,22,924,1693,30
4023694067,809651,2502571,16,1477,2224,30
5140241097,803055,2500398,29,758,1478,30
2528889074,805765,2495203,37,686,1721,30
2407748597,800065,2494573,33,550,1577,30
5374298575,805964,2495379,39,620,1144,30
1116415377,806758,2495321,31,789,1205,30
6222133072,800744,2500527,18,697,1274,30
4729093944,802035,2490800,0,827,1379,30
2556906785,799743,2489632,4,1112,1742,30
2184437924,807680,2496141,15,842,1502,30
6578866472,801429,2490636,24,1012,1428,30
1169610367,796534,2490399,14,1265,2324,30
6848874200,806522,2501062,2,942,1670,30
2420850618,800442,2493479,11,646,1123,30
2132634123,800185,2493814,1,642,1161,30
5173029472,807918,2502667,10,1119,1572,30
2533193655,805045,2498101,23,540,1441,30
4796679122,806766,2501999,1,1058,1478,30
2469954019,800017,2494174,20,772,1353,30
5806332411,797298,2491714,21,902,1297,30
2749881157,801151,2506666,29,1273,1604,30
2406899008,801734,2492578,17,674,1492,30
2537526736,801672,2493171,9,637,1024,30
2537975289,801595,2494673,1,580,1611,30
2531930238,804232,2494838,10,667,1234,30
2531767609,801104,2490555,22,915,1505,30
2537600051,804657,2495822,6,512,1280,30
1116448634,804620,2498937,23,653,1132,30
2462888320,801476,2491533,15,921,1577,30
277486222,801211,2498300,19,573,1571,30
4889417114,800982,2497215,12,444,1031,30
6481741401,800729,2499031,3,648,1539,30
6884026446,802829,2493276,28,531,1680,30
5140241331,801537,2500218,31,636,1280,30
1214404282,798866,2490013,21,930,1249,30
5140241368,803191,2500460,11,682,1452,30
